                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2225,                 0.7765,                  1.058,                0.98514,                0.95392,                0.98314,                0.66775,                 1.1176,                0.67657,                 1.0689,             0.00064957,             0.00064957,             0.00064957
                      2,                  1.255,                0.78479,                 1.0677,                0.97841,                0.95683,                0.97753,                0.64882,                  1.189,                0.85283,                 1.1463,              0.0013032,              0.0013032,              0.0013032
                      3,                 1.2773,                0.81323,                 1.0997,                0.94739,                0.93525,                0.96845,                0.65204,                 1.1674,                 1.0418,                 1.1025,              0.0019436,              0.0019436,              0.0019436
                      4,                 1.3093,                0.84403,                 1.1115,                0.89229,                 0.8777,                0.95306,                0.63831,                 1.1221,                  1.021,                  1.128,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3259,                0.79693,                 1.1369,                0.97242,                0.94245,                0.98128,                0.61839,                 1.2678,                0.78849,                 1.1969,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.2617,                0.75496,                 1.1088,                0.98601,                0.93525,                0.97637,                0.60032,                 1.2796,                0.75216,                  1.191,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.2956,                0.78213,                 1.1236,                0.97763,                0.94337,                0.98413,                0.62689,                 1.2087,                 0.6865,                 1.1573,               0.001901,               0.001901,               0.001901
                      8,                 1.2621,                0.72643,                  1.076,                0.92233,                0.94245,                0.96667,                0.64567,                  1.181,                0.67505,                 1.1195,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.3044,                0.76703,                 1.1117,                0.97042,                0.94418,                0.98359,                0.66675,                 1.1448,                0.70698,                 1.1147,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.2507,                0.73894,                 1.1089,                0.94497,                0.86482,                0.93808,                0.64044,                   1.14,                0.77112,                 1.1555,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.2283,                0.69573,                 1.0821,                0.99245,                0.94588,                0.98923,                0.67934,                 1.1485,                0.62391,                  1.104,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.2363,                0.71048,                 1.0893,                0.90515,                0.94245,                0.97142,                0.62993,                 1.1585,                0.72066,                 1.1249,               0.001802,               0.001802,               0.001802
                     13,                 1.2292,                0.68474,                 1.0862,                0.94035,                0.94964,                0.98064,                0.67164,                  1.144,                0.61494,                 1.1116,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.2316,                0.67296,                 1.0861,                0.98517,                0.95558,                0.98093,                0.66587,                 1.1716,                0.62866,                 1.1258,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.2226,                0.66106,                 1.0915,                0.99234,                0.93214,                0.98112,                0.65611,                 1.1988,                0.64192,                 1.1304,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.1896,                0.66924,                  1.089,                0.97215,                0.96403,                0.97914,                0.66495,                 1.1591,                 0.5999,                 1.1163,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.2204,                0.67645,                 1.1028,                 0.9777,                0.94645,                0.96291,                0.66903,                 1.1528,                0.68315,                 1.1624,               0.001703,               0.001703,               0.001703
                     18,                 1.1974,                0.65042,                 1.0869,                0.95657,                 0.9507,                0.96343,                0.66459,                 1.1326,                0.66575,                 1.1298,              0.0016832,              0.0016832,              0.0016832
                     19,                  1.199,                0.62922,                 1.0892,                 0.9806,                0.94964,                 0.9899,                0.66363,                 1.2011,                0.60673,                 1.1365,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.1821,                0.63108,                 1.0766,                0.98482,                0.95683,                0.98535,                0.69593,                 1.0972,                  0.576,                 1.1129,              0.0016436,              0.0016436,              0.0016436
