                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.98805,                0.51521,                 1.0433,                 0.9918,                0.97661,                0.99215,                0.69456,                 1.1194,                0.47009,                 1.1786,              0.0016733,              0.0016733,              0.0016733
                     36,                0.99088,                0.51549,                 1.0469,                0.98227,                0.97198,                0.98635,                0.69735,                 1.1407,                0.50082,                 1.1889,              0.0016634,              0.0016634,              0.0016634
                     37,                0.98141,                0.52664,                 1.0278,                0.98977,                0.97661,                0.99208,                0.66995,                 1.1651,                0.51108,                 1.2021,              0.0016535,              0.0016535,              0.0016535
                     38,                0.96983,                0.52555,                 1.0387,                0.98706,                0.97076,                0.99159,                0.67668,                 1.1524,                0.49787,                 1.2095,              0.0016436,              0.0016436,              0.0016436
                     39,                0.98217,                0.52099,                 1.0401,                0.98231,                0.97397,                0.98989,                0.69539,                  1.134,                0.47963,                 1.1978,              0.0016337,              0.0016337,              0.0016337
                     40,                0.99882,                0.53695,                 1.0428,                0.98754,                0.98246,                0.99205,                0.69719,                 1.1201,                0.47463,                 1.1793,              0.0016238,              0.0016238,              0.0016238
                     41,                0.98496,                0.52511,                 1.0253,                0.98623,                0.97661,                 0.9933,                0.70668,                 1.0817,                0.46625,                 1.1592,              0.0016139,              0.0016139,              0.0016139
                     42,                0.95215,                0.50329,                 1.0095,                0.99337,                0.98246,                0.99401,                0.71318,                 1.1029,                0.45308,                 1.1806,               0.001604,               0.001604,               0.001604
                     43,                0.96001,                0.52159,                 1.0307,                0.98167,                0.97661,                0.98825,                0.69549,                 1.1219,                0.46654,                 1.1755,              0.0015941,              0.0015941,              0.0015941
                     44,                0.95387,                0.51099,                  1.016,                0.98566,                0.97076,                0.98946,                0.70199,                  1.095,                0.47392,                 1.1773,              0.0015842,              0.0015842,              0.0015842
                     45,                0.94705,                0.49957,                   1.02,                0.99407,                0.98036,                0.99255,                0.69463,                 1.1239,                0.48204,                 1.1746,              0.0015743,              0.0015743,              0.0015743
                     46,                0.93539,                0.50325,                  1.018,                0.99344,                0.97661,                0.99052,                0.70025,                 1.1163,                0.46664,                 1.1756,              0.0015644,              0.0015644,              0.0015644
                     47,                0.93763,                0.48274,                 1.0102,                0.99401,                0.96975,                0.99326,                0.71145,                 1.1049,                0.45403,                 1.1728,              0.0015545,              0.0015545,              0.0015545
                     48,                0.95018,                 0.4899,                 1.0144,                0.99408,                0.98219,                0.98998,                0.69302,                 1.1108,                0.44503,                 1.1752,              0.0015446,              0.0015446,              0.0015446
                     49,                0.92377,                0.49295,                 1.0014,                0.99404,                0.97543,                0.99141,                0.69168,                 1.1097,                0.47739,                 1.1724,              0.0015347,              0.0015347,              0.0015347
                     50,                0.94608,                0.51612,                 1.0256,                0.99292,                0.98246,                 0.9937,                0.67722,                 1.1409,                0.46741,                 1.1943,              0.0015248,              0.0015248,              0.0015248
                     51,                0.95829,                0.49473,                 1.0222,                0.99302,                0.96491,                0.99188,                0.69953,                 1.1169,                0.46753,                  1.197,              0.0015149,              0.0015149,              0.0015149
                     52,                0.93233,                0.49666,                 1.0082,                0.98739,                0.97661,                0.99192,                0.69985,                 1.1329,                0.45842,                  1.191,               0.001505,               0.001505,               0.001505
                     53,                0.94071,                0.49618,                 1.0155,                 0.9905,                0.97076,                0.99105,                0.70592,                 1.1243,                0.46465,                 1.1847,              0.0014951,              0.0014951,              0.0014951
                     54,                0.92707,                0.47496,                 1.0065,                0.98153,                0.98246,                0.99128,                0.71298,                 1.0957,                0.44599,                 1.1723,              0.0014852,              0.0014852,              0.0014852
                     55,                0.94632,                0.50099,                 1.0138,                0.98232,                  0.975,                0.98519,                0.69292,                 1.1228,                0.46083,                 1.1873,              0.0014753,              0.0014753,              0.0014753
                     56,                0.94045,                0.50476,                 1.0083,                0.98815,                0.97549,                0.99307,                 0.7002,                 1.1437,                0.46139,                 1.1946,              0.0014654,              0.0014654,              0.0014654
                     57,                0.94137,                0.48633,                 1.0013,                0.98897,                0.96491,                0.99303,                0.68347,                 1.1207,                0.46218,                 1.1893,              0.0014555,              0.0014555,              0.0014555
                     58,                0.92377,                0.48914,                 1.0055,                0.99262,                0.97076,                0.99057,                0.70169,                   1.12,                0.45616,                 1.1936,              0.0014456,              0.0014456,              0.0014456
                     59,                0.94778,                0.48323,                 1.0149,                0.99227,                0.97661,                0.99309,                0.71257,                 1.0991,                0.44367,                 1.1727,              0.0014357,              0.0014357,              0.0014357
                     60,                0.92275,                0.47469,                0.99923,                0.99302,                0.97076,                0.99398,                0.70014,                 1.1403,                0.46497,                 1.1899,              0.0014258,              0.0014258,              0.0014258
                     61,                0.93962,                0.48278,                  1.018,                0.98712,                0.97661,                0.99185,                0.70247,                 1.1189,                0.46373,                 1.1876,              0.0014159,              0.0014159,              0.0014159
                     62,                0.92037,                0.46841,                 1.0159,                0.99289,                0.97076,                0.99343,                0.68057,                 1.1716,                 0.4583,                 1.2083,               0.001406,               0.001406,               0.001406
                     63,                0.93958,                 0.4848,                 1.0089,                0.99852,                0.97076,                 0.9931,                0.70521,                 1.1333,                 0.4531,                 1.1927,              0.0013961,              0.0013961,              0.0013961
                     64,                0.91512,                0.48646,                0.99129,                0.98809,                0.97048,                0.99224,                0.70468,                  1.153,                0.46637,                 1.1946,              0.0013862,              0.0013862,              0.0013862
                     65,                 0.9069,                0.48331,                0.99413,                0.98414,                0.97076,                0.99337,                0.70057,                 1.1522,                0.45615,                 1.1872,              0.0013763,              0.0013763,              0.0013763
                     66,                0.91001,                0.49152,                0.98094,                0.99408,                0.98128,                0.99347,                0.69722,                  1.138,                0.45752,                 1.1903,              0.0013664,              0.0013664,              0.0013664
                     67,                0.89072,                0.47965,                0.98753,                  0.994,                0.96868,                0.99364,                0.70497,                 1.1046,                0.45498,                  1.172,              0.0013565,              0.0013565,              0.0013565
                     68,                 0.8992,                0.47587,                0.98001,                0.99841,                0.97661,                0.99392,                0.70947,                 1.1372,                0.45451,                 1.1967,              0.0013466,              0.0013466,              0.0013466
                     69,                0.92858,                0.48258,                 1.0129,                0.98775,                0.98246,                0.99364,                0.70272,                 1.1095,                0.45507,                 1.1875,              0.0013367,              0.0013367,              0.0013367
                     70,                0.87884,                0.47558,                0.99075,                0.99404,                0.97514,                0.99352,                0.71301,                 1.1174,                0.44288,                 1.1779,              0.0013268,              0.0013268,              0.0013268
