                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0627,                0.58832,                 1.0041,                0.97297,                0.94924,                0.97759,                0.65737,                 1.1378,                0.57385,                 1.0857,              0.0008911,              0.0008911,              0.0008911
                     36,                  1.106,                0.59003,                 1.0257,                0.96858,                0.95431,                0.98658,                0.68059,                  1.143,                0.55515,                  1.089,              0.0008878,              0.0008878,              0.0008878
                     37,                 1.1006,                0.58241,                 1.0151,                0.99468,                0.94923,                0.99038,                0.68472,                 1.1423,                0.55163,                 1.0922,              0.0008845,              0.0008845,              0.0008845
                     38,                 1.0563,                0.58124,                 1.0025,                0.99473,                0.95738,                0.98805,                0.67458,                 1.1341,                 0.5413,                 1.0932,              0.0008812,              0.0008812,              0.0008812
                     39,                 1.0623,                0.58121,                0.99269,                0.98931,                0.93998,                0.98586,                0.70025,                 1.1233,                0.57243,                 1.0726,              0.0008779,              0.0008779,              0.0008779
                     40,                 1.0663,                0.56141,                 1.0049,                0.99265,                0.94416,                0.98547,                0.69549,                 1.1302,                0.57638,                 1.0946,              0.0008746,              0.0008746,              0.0008746
                     41,                 1.0764,                0.57857,                 1.0125,                0.98936,                0.94416,                0.98607,                0.69373,                 1.1296,                0.56237,                 1.0804,              0.0008713,              0.0008713,              0.0008713
                     42,                 1.0695,                0.58077,                 1.0055,                0.95325,                0.95939,                 0.9817,                0.69121,                 1.1078,                 0.5968,                 1.0754,               0.000868,               0.000868,               0.000868
                     43,                 1.0532,                0.57745,                 1.0044,                0.99469,                0.95141,                0.98428,                0.69336,                 1.1362,                0.58053,                 1.0974,              0.0008647,              0.0008647,              0.0008647
                     44,                 1.0722,                0.58375,                 1.0083,                0.99354,                0.95431,                0.98804,                0.70584,                 1.0871,                0.51842,                 1.0726,              0.0008614,              0.0008614,              0.0008614
                     45,                 1.0417,                0.57143,                0.99445,                0.98412,                0.94396,                0.98868,                0.68558,                 1.1449,                0.53454,                 1.0875,              0.0008581,              0.0008581,              0.0008581
                     46,                 1.0609,                 0.5639,                 1.0132,                      1,                0.95362,                0.99088,                0.69328,                 1.1056,                0.52732,                 1.0906,              0.0008548,              0.0008548,              0.0008548
                     47,                 1.0641,                0.56392,                 1.0016,                0.99372,                0.94924,                0.98912,                0.68895,                 1.1425,                0.52785,                 1.1152,              0.0008515,              0.0008515,              0.0008515
                     48,                 1.0653,                 0.5572,                 1.0027,                0.96246,                0.94416,                0.98335,                0.68749,                  1.097,                0.55397,                 1.0681,              0.0008482,              0.0008482,              0.0008482
                     49,                 1.0478,                0.57104,                0.99074,                0.98777,                0.93909,                0.98749,                0.68465,                 1.1401,                0.55028,                 1.0987,              0.0008449,              0.0008449,              0.0008449
                     50,                 1.0272,                0.56031,                  0.992,                0.96768,                0.94924,                0.98062,                0.69616,                 1.1051,                0.57016,                 1.0707,              0.0008416,              0.0008416,              0.0008416
