                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97607,                0.51513,                0.97796,                 0.9826,                0.93382,                0.98773,                0.72101,                 1.0143,                0.51299,                0.99709,               0.073027,                2.7e-05,                2.7e-05
                      2,                0.94471,                0.49674,                0.96759,                 0.9923,                0.94779,                0.99119,                0.75752,                0.93808,                0.46436,                0.98342,               0.045055,             5.4819e-05,             5.4819e-05
                      3,                0.92099,                0.47083,                0.95525,                0.99937,                0.94853,                0.99322,                0.78724,                0.87347,                0.42471,                0.96181,               0.017082,             8.2452e-05,             8.2452e-05
                      4,                0.92252,                0.45827,                0.95521,                      1,                0.95511,                0.99365,                0.76994,                0.86768,                0.42061,                 0.9636,              9.901e-05,              9.901e-05,              9.901e-05
                      5,                0.90644,                0.44617,                 0.9563,                0.99938,                0.94853,                0.99252,                0.77622,                  0.888,                0.42634,                0.96759,              9.901e-05,              9.901e-05,              9.901e-05
                      6,                0.90293,                0.44873,                 0.9484,                0.99933,                0.94853,                0.99285,                0.78064,                0.86827,                0.42567,                0.96072,              9.868e-05,              9.868e-05,              9.868e-05
                      7,                0.88028,                0.42826,                0.93451,                0.99939,                0.94853,                0.99377,                0.77604,                 0.8592,                0.41417,                0.95943,              9.835e-05,              9.835e-05,              9.835e-05
                      8,                 0.8793,                0.44207,                0.94114,                0.99937,                0.94853,                0.99274,                0.77181,                0.87858,                0.40827,                0.96558,              9.802e-05,              9.802e-05,              9.802e-05
                      9,                0.89123,                0.44303,                0.94782,                0.99942,                0.94853,                0.99376,                0.77506,                0.87154,                0.40471,                0.96249,              9.769e-05,              9.769e-05,              9.769e-05
                     10,                0.88994,                0.44428,                0.94898,                0.99965,                0.94853,                0.99356,                 0.7671,                0.89803,                0.41876,                0.97254,              9.736e-05,              9.736e-05,              9.736e-05
                     11,                 0.8853,                0.44302,                0.94251,                      1,                0.95543,                0.99414,                0.78158,                0.86981,                 0.4136,                0.95815,              9.703e-05,              9.703e-05,              9.703e-05
                     12,                0.88147,                0.43674,                 0.9453,                      1,                0.95735,                 0.9936,                0.78213,                0.87669,                 0.4074,                0.96445,               9.67e-05,               9.67e-05,               9.67e-05
                     13,                0.87281,                 0.4324,                0.93651,                      1,                0.95424,                0.99332,                0.77576,                0.87376,                0.40135,                0.96372,              9.637e-05,              9.637e-05,              9.637e-05
                     14,                0.88379,                0.44104,                0.94197,                 0.9924,                0.96043,                0.99338,                0.78035,                0.86993,                0.39941,                0.95626,              9.604e-05,              9.604e-05,              9.604e-05
                     15,                0.85654,                0.42893,                0.93285,                      1,                0.95511,                0.99325,                0.76674,                0.89887,                0.40838,                  0.971,              9.571e-05,              9.571e-05,              9.571e-05
                     16,                0.85633,                0.41638,                0.93475,                      1,                0.95492,                0.99387,                 0.7817,                0.88022,                0.41879,                0.96486,              9.538e-05,              9.538e-05,              9.538e-05
                     17,                0.85294,                 0.4291,                0.93596,                0.99238,                0.95738,                0.99339,                0.77754,                0.88681,                0.41219,                0.96744,              9.505e-05,              9.505e-05,              9.505e-05
                     18,                0.86547,                0.42356,                0.93981,                0.99934,                0.94853,                0.99292,                 0.7851,                 0.8757,                0.41245,                0.96291,              9.472e-05,              9.472e-05,              9.472e-05
                     19,                0.85577,                 0.4222,                0.93598,                      1,                 0.9553,                0.99345,                0.77343,                0.88857,                0.41329,                0.96919,              9.439e-05,              9.439e-05,              9.439e-05
                     20,                0.84628,                0.40759,                0.93912,                      1,                0.95536,                0.99359,                0.77167,                0.89617,                0.41331,                0.97142,              9.406e-05,              9.406e-05,              9.406e-05
                     21,                0.83692,                0.41595,                 0.9306,                      1,                0.95545,                 0.9936,                0.77702,                0.87723,                0.40703,                0.96362,              9.373e-05,              9.373e-05,              9.373e-05
                     22,                0.85798,                0.41706,                0.94803,                      1,                0.96043,                0.99354,                0.77516,                0.88703,                0.42188,                0.96568,               9.34e-05,               9.34e-05,               9.34e-05
                     23,                0.84039,                0.41199,                0.92831,                      1,                0.96053,                0.99368,                0.77528,                0.89052,                0.42686,                0.96438,              9.307e-05,              9.307e-05,              9.307e-05
                     24,                0.86819,                0.41786,                0.93791,                      1,                0.96141,                0.99394,                0.78062,                0.87395,                0.42272,                0.95841,              9.274e-05,              9.274e-05,              9.274e-05
                     25,                 0.8576,                0.41752,                0.93179,                      1,                 0.9653,                0.99408,                0.76999,                0.89367,                0.41729,                0.96561,              9.241e-05,              9.241e-05,              9.241e-05
                     26,                 0.8513,                0.41463,                0.93109,                      1,                 0.9598,                0.99359,                0.77844,                0.87813,                0.40081,                0.95858,              9.208e-05,              9.208e-05,              9.208e-05
                     27,                   0.83,                  0.417,                0.92163,                      1,                0.96293,                0.99422,                0.78111,                0.88192,                0.40638,                 0.9579,              9.175e-05,              9.175e-05,              9.175e-05
                     28,                0.84304,                 0.4093,                  0.932,                      1,                0.95583,                0.99368,                0.78147,                0.88038,                0.42609,                0.96154,              9.142e-05,              9.142e-05,              9.142e-05
                     29,                0.85367,                0.41727,                0.92942,                      1,                0.96109,                0.99368,                0.77429,                0.87544,                0.41752,                0.96132,              9.109e-05,              9.109e-05,              9.109e-05
                     30,                0.82867,                0.41489,                0.92869,                      1,                0.95545,                0.99338,                0.78582,                0.86849,                0.40157,                0.95639,              9.076e-05,              9.076e-05,              9.076e-05
                     31,                0.83682,                0.41374,                0.93952,                      1,                0.96118,                0.99387,                0.78016,                0.87171,                0.39861,                 0.9571,              9.043e-05,              9.043e-05,              9.043e-05
                     32,                0.84257,                0.41681,                0.93429,                0.99354,                0.96324,                0.99415,                0.78972,                0.85584,                0.40206,                0.94944,               9.01e-05,               9.01e-05,               9.01e-05
                     33,                0.83508,                 0.4114,                0.91779,                  0.999,                0.97059,                0.99417,                0.77805,                0.88596,                0.40467,                0.96326,              8.977e-05,              8.977e-05,              8.977e-05
                     34,                 0.8104,                0.39559,                0.91978,                      1,                0.97025,                0.99412,                0.78479,                0.87235,                0.40388,                 0.9574,              8.944e-05,              8.944e-05,              8.944e-05
                     35,                0.81221,                0.40774,                0.92303,                0.99894,                0.97059,                 0.9943,                0.78413,                0.87865,                0.40235,                0.95716,              8.911e-05,              8.911e-05,              8.911e-05
                     36,                0.83498,                 0.4145,                0.92925,                0.99808,                0.96324,                0.99382,                0.77998,                0.88951,                0.39501,                 0.9595,              8.878e-05,              8.878e-05,              8.878e-05
                     37,                  0.834,                0.40775,                0.93159,                0.99892,                0.97059,                0.99397,                 0.7749,                0.89151,                0.40299,                0.96348,              8.845e-05,              8.845e-05,              8.845e-05
                     38,                0.80713,                 0.3956,                0.92053,                      1,                0.96184,                0.99396,                0.77379,                  0.912,                0.42172,                0.97182,              8.812e-05,              8.812e-05,              8.812e-05
                     39,                0.82667,                 0.4078,                0.91967,                      1,                0.96158,                0.99409,                0.77712,                0.88777,                0.42003,                0.96142,              8.779e-05,              8.779e-05,              8.779e-05
                     40,                0.82141,                0.40715,                0.92582,                      1,                0.96289,                0.99381,                0.78194,                0.88236,                0.41667,                0.96215,              8.746e-05,              8.746e-05,              8.746e-05
                     41,                0.81057,                0.39868,                0.91909,                      1,                0.96139,                0.99345,                0.77275,                0.89797,                0.42212,                 0.9736,              8.713e-05,              8.713e-05,              8.713e-05
                     42,                0.81037,                0.40348,                0.91979,                      1,                0.96118,                0.99308,                0.76815,                0.89582,                0.42735,                0.96641,               8.68e-05,               8.68e-05,               8.68e-05
                     43,                0.83136,                0.41794,                0.92739,                 0.9925,                 0.9725,                0.99375,                0.77306,                0.90862,                0.41367,                0.97442,              8.647e-05,              8.647e-05,              8.647e-05
                     44,                0.81905,                 0.4094,                0.91687,                0.99251,                0.97375,                0.99397,                 0.7744,                0.90418,                0.40964,                0.96986,              8.614e-05,              8.614e-05,              8.614e-05
                     45,                0.79968,                0.39935,                0.92107,                      1,                0.97029,                0.99387,                0.76929,                0.90258,                0.41184,                0.96812,              8.581e-05,              8.581e-05,              8.581e-05
                     46,                0.80483,                0.40143,                0.91869,                      1,                0.97037,                0.99336,                0.75808,                0.90922,                0.41953,                0.97469,              8.548e-05,              8.548e-05,              8.548e-05
                     47,                0.82982,                0.40658,                0.93622,                      1,                0.98051,                0.99388,                0.76175,                0.88631,                0.41574,                0.96137,              8.515e-05,              8.515e-05,              8.515e-05
                     48,                0.81658,                0.39567,                0.91098,                      1,                0.97158,                  0.994,                0.77497,                0.88905,                0.41487,                0.96243,              8.482e-05,              8.482e-05,              8.482e-05
                     49,                0.81027,                0.39833,                0.92042,                      1,                0.96994,                 0.9936,                0.76493,                 0.9093,                0.41575,                0.97211,              8.449e-05,              8.449e-05,              8.449e-05
                     50,                0.81773,                0.39972,                0.92469,                      1,                0.97444,                0.99181,                0.76955,                0.89135,                0.41461,                0.96329,              8.416e-05,              8.416e-05,              8.416e-05
                     51,                0.79309,                0.38773,                0.91436,                      1,                0.97207,                0.99215,                0.76893,                0.89446,                0.42224,                0.96374,              8.383e-05,              8.383e-05,              8.383e-05
                     52,                0.80691,                0.39862,                0.91597,                0.99845,                0.97794,                0.99368,                0.76671,                0.90212,                0.41237,                0.96893,               8.35e-05,               8.35e-05,               8.35e-05
                     53,                0.79438,                0.38403,                0.91589,                0.99496,                0.97794,                0.99411,                0.77794,                0.89436,                0.40511,                0.96267,              8.317e-05,              8.317e-05,              8.317e-05
                     54,                 0.8009,                0.38792,                0.91926,                0.99984,                0.97794,                0.99334,                0.76406,                0.90931,                0.42333,                0.96963,              8.284e-05,              8.284e-05,              8.284e-05
                     55,                0.78378,                0.40022,                0.91174,                0.99414,                0.97794,                0.99391,                0.77347,                0.89437,                0.41105,                0.96353,              8.251e-05,              8.251e-05,              8.251e-05
                     56,                0.79662,                0.39827,                 0.9061,                0.98521,                0.97983,                0.99388,                0.77595,                0.90044,                 0.4102,                0.96823,              8.218e-05,              8.218e-05,              8.218e-05
                     57,                0.79344,                0.39027,                0.91468,                 0.9906,                0.98529,                0.99353,                0.76576,                0.89692,                0.41246,                0.96479,              8.185e-05,              8.185e-05,              8.185e-05
                     58,                0.79763,                0.39723,                0.91083,                0.99105,                0.98529,                 0.9936,                0.76929,                0.89759,                0.40584,                0.96369,              8.152e-05,              8.152e-05,              8.152e-05
                     59,                0.79296,                0.39582,                0.91593,                0.99255,                0.97946,                0.99424,                0.77352,                0.90237,                0.40301,                0.96428,              8.119e-05,              8.119e-05,              8.119e-05
                     60,                0.79002,                0.39535,                 0.9142,                      1,                 0.9778,                0.99394,                0.77024,                0.91056,                0.40097,                0.96719,              8.086e-05,              8.086e-05,              8.086e-05
                     61,                0.78762,                0.39665,                0.90575,                0.99496,                0.97794,                0.99273,                0.76788,                 0.9017,                0.40593,                0.96325,              8.053e-05,              8.053e-05,              8.053e-05
                     62,                0.80429,                0.39804,                0.91525,                      1,                0.96286,                0.99103,                0.75674,                0.91948,                0.42763,                0.97313,               8.02e-05,               8.02e-05,               8.02e-05
